experiment,program,n,threads,rep,time_seconds,primes_found
vary_threads,task2,10000000,7,2,0.702090,664579
vary_threads,task3,10000000,7,2,0.731526,664579
vary_threads,task2,10000000,7,3,0.726080,664579
vary_threads,task3,10000000,7,3,0.680818,664579
vary_threads,task2,10000000,8,1,0.694666,664579
vary_threads,task3,10000000,8,1,0.586081,664579
vary_threads,task2,10000000,8,2,0.693462,664579
vary_threads,task3,10000000,8,2,0.562162,664579
vary_threads,task2,10000000,8,3,0.667092,664579
vary_threads,task3,10000000,8,3,0.623041,664579
vary_threads,task2,10000000,10,1,0.685653,664579
vary_threads,task3,10000000,10,1,0.586549,664579
vary_threads,task2,10000000,10,2,0.652705,664579
vary_threads,task3,10000000,10,2,0.601138,664579
vary_threads,task2,10000000,10,3,0.601459,664579
vary_threads,task3,10000000,10,3,0.567233,664579
vary_threads,task2,10000000,12,1,0.599362,664579
vary_threads,task3,10000000,12,1,0.620981,664579
vary_threads,task2,10000000,12,2,0.575397,664579
vary_threads,task3,10000000,12,2,0.572987,664579
vary_threads,task2,10000000,12,3,0.588813,664579
vary_threads,task3,10000000,12,3,0.748737,664579
vary_threads,task2,10000000,16,1,0.574880,664579
vary_threads,task3,10000000,16,1,0.603525,664579
vary_threads,task2,10000000,16,2,0.609936,664579
vary_threads,task3,10000000,16,2,0.577390,664579
vary_threads,task2,10000000,16,3,0.616010,664579
vary_threads,task3,10000000,16,3,0.618378,664579
vary_threads,task2,10000000,24,1,0.599763,664579
vary_threads,task3,10000000,24,1,0.539447,664579
vary_threads,task2,10000000,24,2,0.605537,664579
vary_threads,task3,10000000,24,2,0.565517,664579
vary_threads,task2,10000000,24,3,0.581134,664579
vary_threads,task3,10000000,24,3,0.582373,664579
vary_threads,task2,10000000,32,1,0.612595,664579
vary_threads,task3,10000000,32,1,0.604514,664579
vary_threads,task2,10000000,32,2,0.699153,664579
vary_threads,task3,10000000,32,2,0.557328,664579
vary_threads,task2,10000000,32,3,0.585777,664579
vary_threads,task3,10000000,32,3,0.564193,664579
